"Union General William T. Sherman completes his Mar","1864-12-10","Union General William T. Sherman completes his March to the Sea when he arrives in front of Savannah, Georgia during the US Civil War. The city of Savannah was fortified and defended by 10,000 Confederates under the command of General William Hardee. Union supply ships arrived to aid Sherman's troops which were running out of supplies. Hardee held out as Sherman prepared for an attack, but realizing the futility of losing in force entirely, Hardee fled the city on December 20."
"Confederate General Robert E. Lee's Army of Northe","1862-12-13","Confederate General Robert E. Lee's Army of Northern Virginia repulses a series of attacks by General Ambrose Burnside's Army of the Potomac at Fredericksburg, Virginia. The defeat was one of the most decisive losses for the Union army. The campaign began promisingly for the Union. The army moved quickly down the Rappahannock, but then stalled when a pontoon bridge was not in place for several days. The delay allowed Lee to move his troops into a sunken road protected by a stone wall, looking down on the open slopes that stretched from the edge of Fredericksburg. So strong was the Confederate position that one Rebel officer claimed that a chicken could not live on that field when we open on it.  Unfortunately for the Union, Burnside decided to attack anyway. On December 13,  Burnside hurled 14 attacks against the Confederate lines. Although the Union artillery was effective against the Rebels, the six-hundred yard field was a killing ground for the attacking Yankees. No Union soldiers reached the wall at the top of Marye's Heights, and few even came within fifty yards of it."
"USS Swordfish becomes 1st US sub to sink a Japanes","1941-12-15","USS Swordfish becomes 1st US sub to sink a Japanese ship and on the same day...German submarine U-127 sunk west of Gibraltar by depth charges from the Australian destroyer HMAS Nestor: all hands (51) lost."
"Battle of the Bulge begins: Hitler ordered a massi","1944-12-16","Battle of the Bulge begins: Hitler ordered a massive attack against the western Allies by three German armies.  The German counterattack out of the densely wooded Ardennes region of Belgium took the Allies entirely by surprise, and the experienced German troops wrought havoc on the American line, creating a triangular bulge 60 miles deep and 50 miles wide along the Allied front. Until a three-point counteroffensive led by British General Bernard Montgomery and Americans generals Omar Bradley and George Patton."
"During the Battle of the Bulge, the German command","1944-12-22","During the Battle of the Bulge, the German commander besieging the town of Bastogne demanded that the Americans surrender or face annihilation. U.S. Major General Anthony McAuliffe prepared a typed reply that read simply:To the German Commander:Nuts! From the American Commander [There's a pretty good Nuts museum in Bastogne, if you're ever nearby]"
"Orville Wright took to the air. Orville's controll","1903-12-17","Orville Wright took to the air. Orville's controlled flight, of 36 meters (120 feet) in 12 seconds, was recorded in a famous photograph. In the fourth flight of the same day, the only flight made that day which was actually controlled, Wilbur Wright flew 259 meters (852 feet) in 59 seconds."
"Adolf Hitler issues his secret plans for the invas","1940-12-18","Adolf Hitler issues his secret plans for the invasion of the Soviet Union--Operation Barbarossa."
"Defended by 610 fighting men, the American-held is","1941-12-18","Defended by 610 fighting men, the American-held island of Guam falls to more than 5,000 Japanese invaders in a three-hour battle."
"General George S. Patton, commander of the U.S. 3r","1945-12-21","General George S. Patton, commander of the U.S. 3rd Army, dies from injuries suffered not in battle but in a freak car accident. - Patton graduated from the West Point Military Academy in 1909 - He represented the United States in the 1912 Olympics-as the first American participant in the pentathlon - he did not win a medal- Commanded the US Tank Corps during World War I and received a Purple Heart, a Distinguished Service Cross and was given a battlefield promotion to a full colonel after being wounded by machine gun fire as he sought assistance for tanks that were mired in the mud in the St. Mihiel offensive - Commander of the U.S. 7th Army, that captured Palermo, Sicily, in 1943 - In August of 1943 while visiting hospitals and commending wounded soldiers, he slapped and verbally abused 2 soldiers who were suffering from shell-shock and had no visible wounds because he thought were exhibiting cowardly behavior - Patton was relieved of command of the Seventh Army - During the Battle of the Bulge, he employed an unorthodox strategy that involved a 90-degree pivoting move of his 3rd Army forces, enabling him to speedily relieve the besieged Allied defenders of Bastogne, Belgium - AS"
"Born Today: Arnold Ludwig Mendelssohn (composer),","1-12-26","Born Today: Arnold Ludwig Mendelssohn (composer), Charles Babbage (inventor - calculating machine), Mao Tse-tung (Chinese PM), Lars Ulrich (Metallica)"
"Having advanced as far as the Myshkova river 30 mi","1942-12-23","Having advanced as far as the Myshkova river 30 miles southwest of Stalingrad, the three Panzer divisions of the relief force have exhausted their power and begin to withdraw towards their starting line at Kotelnikovo."
"The United States and United Kingdom signed the Tr","1818-12-24","The United States and United Kingdom signed the Treaty of Ghent, ending the War of 1812. Despite the signing of the treaty, the war continued for several weeks, including the Battle of New Orleans as the news of the treaty took time to reach all of North America."
"The Vergeltungswaffe 1 FZG-76 (V1), known as the B","1942-12-24","The Vergeltungswaffe 1 FZG-76 (V1), known as the Buzz Bomb was the first modern guided missile used in wartime. Because of the buzzing sound of the engine, it caused considerable fear in targeted areas. If the engine noise cut out, it was time to duck, as the missile would then go into its terminal dive."
"Born Today: Jesus of Nazareth","1-12-25","Born Today: Jesus of Nazareth"
"Heavy fighting continues all around the perimeter","1944-12-25","Heavy fighting continues all around the perimeter of Stalingrad, while the decimated and starving troops of 6th Army receive their last rations of horse meat, the 12,000 horses in the pocket having now all been slaughtered"
"The Battle of Trenton took place during the Americ","1776-12-26","The Battle of Trenton took place during the American Revolutionary War. George Washington led the main Continental Army across the Delaware to surprise and virtually eliminate the Hessian garrison at Trenton, New Jersey."
"Soviet troops invade Afghanistan. With air support","1979-12-27","Soviet troops invade Afghanistan. With air support, logistics, MVD troops, and other miscellaneous troops, the total number is estimated by some observers at approximately 175,000 troops total. The Soviet forces eventually left the country by February of 1989."
"Stalin, suspicious of their loyalty due to their d","1943-12-28","Stalin, suspicious of their loyalty due to their dissatisfaction with their conditions, deported the whole Kalmyk nation (the only Buddhist state in Europe) without notice to Siberia in cattle trucks. Half of their 140,000 number perished during the journey and in the following years of exile."
"The 7th Cavalry under Colonel James Forsyth surrou","1890-12-29","The 7th Cavalry under Colonel James Forsyth surrounded a band of Ghost Dancers (an Indian spiritual movement) under the Sioux Chief Big Foot near Wounded Knee Creek and demanded they surrender their weapons. Big Foot and his followers agreed to surrender and began turning over their guns. As that was happening, a scuffle broke out between an Indian and a soldier, and a shot was fired. Though no one is certain which side fired it, the ensuing melee was quick and brutal. Without arms and outnumbered, the Sioux were reduced to hand-to-hand fighting with knives, and they were cut down in a withering rain of bullets, many coming from the army's rapid-fire repeating Hotchkiss guns. By the time the soldiers withdrew, 146 Indians were dead (including 44 women and 18 children) and 51 wounded. The 7th Cavalry had 25 dead and 39 wounded.  Although sometimes referred to as a battle, the conflict at Wounded Knee is best seen as a tragic and avoidable massacre."
"The U.S.S. Monitor sinks in a storm off Cape Hatte","1862-12-30","The U.S.S. Monitor sinks in a storm off Cape Hatteras, North Carolina. Just nine months earlier, the ship had been part of a revolution in naval warfare when the ironclad dueled to a standstill with the C.S.S. Virginia (Merrimack) off Hampton Roads, Virginia, in one of the most famous naval battles in history--the first time two ironclads faced each other in a naval engagement."
"The provisional government of Hungary officially d","1944-12-31","The provisional government of Hungary officially declares war on Germany, bringing an end to Hungary's cooperation - sometimes free, sometimes coerced - with the Axis power. When the Germans invaded the Soviet Union, Hitler demanded that Hungary mobilize its military against the Soviets as well. So, Hungary declared war on the USSR. As Soviet troops began to occupy more Hungarian territory, a desperate regent signed an armistice with Moscow, but when it was announced on radio, he was kidnapped by the Germans and forced to abdicate. Soviet troops finally liberated the bulk of Hungary from German rule in December 1944."
"The British battleship Formidable was hit by a U-b","1915-1-1","The British battleship Formidable was hit by a U-boat's torpedo and lost more than 500 men - who were retrieved from the English Channel and stacked on the floor of a pub in Lyme Regis, England. The pub's half-collie, when she was called away, refused to leave the bodies and began to lick the face of one of the victims. Nuzzling his head and body, she stayed with him for more than 30 minutes, whereupon he showed signs of life, was rushed to a hospital and eventually made a full recovery. [The dog's name was Lassie and inspired the bestseller Lassie Come Home]"
"U.S. Air Force F-4 Phantom jets down seven communi","1967-1-2","U.S. Air Force F-4 Phantom jets down seven communist MiG-21s over North Vietnam. The Phantoms were flying cover for F-105 Thunderchief fighter-bombers, which were attacking surface-to-air missile sites in the Red River Delta. During this operation, Col. Robin Olds shot down one of the MiGs, becoming the first and only U.S. Air Force ace with victories in both World War II and Vietnam."
"Lt. Gen. Charles Cornwallis declares We'll bag the","1777-1-3","Lt. Gen. Charles Cornwallis declares We'll bag the fox in the morning,  not realizing that Maj. Gen. George Washington has left behind a few men, bonfires, and wooden cannons as decoys in his previous position. Meanwhile, Washington's army launched the Battle of Princeton and defeated the British force left behind by Cornwallis."
"U.S. aircraft begin dropping supplies to guerrilla","1944-1-4","U.S. aircraft begin dropping supplies to guerrilla forces throughout Western Europe. Virtually every country that experienced Axis invasion raised a guerrilla force"
"Twenty eight BW B-29 Superfortress bombers dispatc","1945-1-6","Twenty eight BW B-29 Superfortress bombers dispatched from Chengtu, China, attack an aircraft factory and urban areas at Omura with 91 tons of bombs. Thirteen bomb a secondary target at Nanking, China while 6 attack targets of opportunity. One B-29 (Rushorder, with crew of 12) is lost after losing 2 of their 4 engines to Japanese fighters. This is the last mission against targets in Japan from the base which is abandoned after the mission."
"Field Marshal Bernard Montgomery, 1st Viscount Mon","1944-1-7","Field Marshal Bernard Montgomery, 1st Viscount Montgomery of Alamein held a press conference in which he claimed credit for the victory in the Battle of the Bulge. Prime Minister Winston Churchill later announced that the battle was an American operation and was won by Americans. American losses in the battle were over 75,500 while British losses were only 1408."
"In The Battle of New Orleans, Major General Sir Ed","1815-1-8","In The Battle of New Orleans, Major General Sir Edward Pakenham's force of 10,000 was defeated by General Andrew Jackson's 5,000 fortified troops. British losses were 2036, American losses were 71. Neither side knew that the war had officially ended two weeks prior."
"Fullfulling his 2/22/42 promise of I shall return,","1945-1-9","Fullfulling his 2/22/42 promise of I shall return, General Douglas MacArthur and the American 6th Army land on the Lingayen Gulf of Luzon, another step in the capture of the Philippine Islands from the Japanese."
"Born Today: Aleksei Tolstoi (Russian writer), Geor","1-1-10","Born Today: Aleksei Tolstoi (Russian writer), George Foreman (Boxer), Pat Benatar (Singer)"
"Gaius Julius Caesar crossed the Rubicon river (Rom","49-1-10","Gaius Julius Caesar crossed the Rubicon river (Roman law forbade any general from crossing it with a standing army) and started a civil war. Caesar had been ordered to return to Rome and disband his army, but he knew that he would be prosecuted and politically eliminated if he entered Rome. [That year should be 49 BC, but not allowed - AS]"
"Soviet troops create a breach in the German siege","1943-1-12","Soviet troops create a breach in the German siege of Leningrad and allowed for more supplies to come in along Lake Ladoga. Upon invading the Soviet Union in June 1941, German troops made a beeline for Leningrad, the second-largest city in the USSR. In August, German forces, approaching from the west and south, surrounded the city and rendered the Leningrad-Moscow railway useless. A German offensive attempted to occupy the city but failed"
"The Red Army opens an offensive in South Poland, c","1945-1-13","The Red Army opens an offensive in South Poland, crashing 25 miles through the German lines. Germany and the Soviet Union agreed to split Poland at the begining of the war with the Molotov-Ribbentrop Pact. Poland lost a larger percent of its population during the war than any other nation."
"On the USS Enterprise (CVN-65), the world's first","1969-1-14","On the USS Enterprise (CVN-65), the world's first nuclear aircraft carrier, an accidental armament explosion on a below deck aircraft sparked a large fire and further explosions of munitions or fuel while 70 nm from Honolulu, Hawaii. Twenty-eight crew were killed and over 150 were wounded. The CVN-65 is the eighth naval vessel to be called the USS Enterprise  - that does not include the Starship Enterprise :)"
"The USS Hatteras, an 1126-ton side-wheel steamer w","1862-1-11","The USS Hatteras, an 1126-ton side-wheel steamer with 4 x 32 pound cannons and 1 x 20 pounder, encountered the Confederate commerce raider CSS Alabama with 6 x 32-pound cannons, 1 x 110 pounder, and 1 x 68 pounder, flying the British flag (an acceptable practice under the law of the sea at the time) and indicating that she was the HMS Spitfire. As a boarding party approached the Alabama she broke out the Confederate ensign and commenced firing. A fierce 40-minute battle ensued until the Hatteras was overpowered and began to sink."
"Allied forces broke through the fortified Winter L","1943-1-15","Allied forces broke through the fortified Winter Line (in its sector as the Gustav Line) spanning the Italian peninsula along the Sangro and Garigliano rivers. The 5th Army seized Mounts Camino and San Pietro, crossed the Garigliano and reached and crossed the Rapido river below Monte Cassino. The formidable defensive position of Monte Cassino wasn't taken until almost 18 months later."
"One day after the deadline set in Resolution 678,","1991-1-16","One day after the deadline set in Resolution 678, Persian Gulf War #1 (codenamed Operation Desert Storm) begins as an air campaign that is made up of more than 1,000 sorties per day. Five weeks later a ground campaign started that took 3 days to get Iraqi troops to exit Kuwait."
"Nazi personnel started to evacuate Auschwitz","1945-1-17","Nazi personnel started to evacuate Auschwitz"
"The Germans counter attack in Tunisia. They gain g","1943-1-18","The Germans counter attack in Tunisia. They gain ground against the Free French, but are repulsed by British forces. This date sees the first use in the Africa campaign of the Panzerkampfwagen VI Ausführung H, or the Tiger as it was nicknamed by Ferdinand Porsche. The Tiger could destroy most opponents from 1600 m. The Soviet T-34 could only penetrate the Tiger from 1000 m. The M4 Sherman could only penetrate the Tiger from 500 m. and from the side. (sorry, no data on the Churchill) The Tiger dominated action at first until it's slow speed, massive weight, and common mechanical problems limited the number in use."
"General Wavell warns Churchill that Singapore cann","1942-1-19","General Wavell warns Churchill that Singapore cannot be held as little had been done to prepare the landward facing defences. Churchill replies that Singapore must be defended and that 'no question of surrender be entertained until after protracted fighting among the ruins of Singapore city'. General Wavell orders General Percival to prepare Singapore Island for a siege. Japanese troop capture Tavoy as their advance continues in Burma."
"The Japanese 55th Division crosses the Thai-Burmes","1942-1-20","The Japanese 55th Division crosses the Thai-Burmese border from Raheng. They quickly threaten Moulmein in Burma, using the same tactics as in Malaya of outflanking British forces through the Jungle."
"Without consulting higher authority, Rommel launch","1942-1-21","Without consulting higher authority, Rommel launches a counter-offensive against the 8th Army. The 21st Panzer Division quickly seizes Mersa Brega, while the 15th Panzer Division advances to Wadi Faregh and swings north towards Agedabia, brushing aside the attempts by the 1st Armoured Division to stop them."
"Tobruk surrenders to British and Australian troops","1941-1-22","Tobruk surrenders to British and Australian troops who capture 25,000 Italians, along with 208 guns and 87 tanks. Combined British and Australian losses were about 450. The British government now orders Wavells XIII Corps to capture Benghazi."
"Four US destroyers and several submarines attack a","1942-1-24","Four US destroyers and several submarines attack a Japanese convoy in the Macassar Strait between Borneo and Celebes, sinking 1 destroyer and four transports, while only suffering damage to one of their destroyers. This action delays the impending Japanese invasion of Java."
"“We were carrying out a bombing mission on Magdebu","1944-1-25","“We were carrying out a bombing mission on Magdeburg. Our aircraft was attacked twice by a night fighter, setting us ablaze on the first attack. My earphones were put out of commission so I did not hear the order to bail out. I know that I owe my life to the fact that I was blown out of the aircraft. I know Al was preparing to jump. Al and I had been good pals all the way and used to go out a great deal together, I can sympathize with you on the loss of your brother-my-friend. He had been a conscientious member of our crew and so full of life that it doesn’t seem fair that he had to make the sacrifice.” Earl James Clare’s Lancaster was shot down by Major Prinz Heinrich zu Sayn Wittgenstein, at the time the Luftwaffe’s top scoring night fighter who claimed 83 victories. Wittgenstein’s JU 88 also crashed and he was killed."
"Japanese troops land at Rabaul on New Britain, Kav","1942-1-23","Japanese troops land at Rabaul on New Britain, Kavieng on New Ireland, Bougainville Island in the Solomons, and Kendari in Celebes. Australia appeals to Britain and the US for immediate reinforcements."
"The US-Filipino withdrawal to the Bagac-Orion line","1942-1-26","The US-Filipino withdrawal to the Bagac-Orion line is successfully completed. The Japanese quickly followed up the withdrawal and made several penetrations into the new defensive line, although these were all contained and thrown back."
"Soviet troops liberate the 3000 remaining prisoner","1945-1-27","Soviet troops liberate the 3000 remaining prisoners of Auschwitz. By this time, an estimated 2,000,000 persons, including 1,500,000 Jews, have been murdered there."
"The whole of the German workforce is mobilised for","1943-1-28","The whole of the German workforce is mobilised for ‘total war’. All men aged 16-65 and women aged 17- 50 to be registered"
"The allied thrust into the Rhineland continues wit","1945-1-29","The allied thrust into the Rhineland continues with the capture of Oberhausen, 10 miles Northeast of Duisberg. Quisling meets Hitler in Berlin for the last time."
"Born Today: Daniel Bernoulli (Mathematician), W C","1-1-29","Born Today: Daniel Bernoulli (Mathematician), W C Fields (Actor), Tommy Ramone (Rocker), Heather Graham (Actress)"
"With the German Sixth Army in its death throes at","1943-1-30","With the German Sixth Army in its death throes at Stalingrad, Hitler does the seemingly unthinkable and allows the 10th anniversary of the Nazi seizure of power to pass without speaking to the nation. It is the first unmistakable evidence of Hitler's retreat from public appearances as the tide of the war turns."
"British and Commonwealth forces complete their eva","1942-1-31","British and Commonwealth forces complete their evacuation of Malaya and withdraw to Singapore Island across the causeway with the Japanese only 8 miles away. Singapore now has the equivalent of four divisions to defend it, but morale is low and there are serious shortages of weapons. An additional Indian Brigade is landed at Rangoon and sent to join the 17th Indian Division."
"All U-boats adopt a new Enigma cipher known as 'Tr","1942-2-1","All U-boats adopt a new Enigma cipher known as 'Triton'. The new cipher replaces the previous cipher, 'Hydra' and has an additional rotor in the Enigma machine. This meant that the British were unable to read U-boat coded communications traffic until much later in the year, seriously affecting their ability re-route their convoys around U-boat wolf packs."
"Born Today: Brig. Gen. Abner Perrin (Confederate A","1-2-2","Born Today: Brig. Gen. Abner Perrin (Confederate Army), James Joyce (Novelist), Farrah Fawcett (Actress), Brent Spiner (Star Trek's Data)"
"The remnants of the German 6th Army under General","1943-2-2","The remnants of the German 6th Army under General Strecker in the northern pocket cease fighting and surrender to the Red Army. In all, over 96,000 survivors of the once 300,000-strong Army are captured, of which, only about 5,000 will live to return to Germany after the war. At Moscow, the victory over the Germans is celebrated with a salute of several hundred guns."
"President Quezon of the Philippines proposes to Pr","1942-2-3","President Quezon of the Philippines proposes to President Roosevelt that his country should be granted total independence from the USA so that it could declare itself neutral, but Roosevelt dismisses this idea. General MacArthur warns Roosevelt that the Bataan garrison has suffered over 50 per cent casualties and it was 'near done'. MacArthur was given permission by Roosevelt to surrender Filipino, but not US troops who were to fight until the end."
"US forces take Kwajalein Island in Marshall's, los","1944-2-4","US forces take Kwajalein Island in Marshall's, losing 486 killed and 1,495 wounded, but inflicting 8,386 casualties on the Japanese."
"Dutch collaborator, General Seyffardt, was assassi","1943-2-5","Dutch collaborator, General Seyffardt, was assassinated by the Dutch resistance movement. In response, 250 hostages were shot by the Germans."
"Australian forces capture Benghazi along with six","1941-2-6","Australian forces capture Benghazi along with six senior Italian Generals. Italian forces make repeated attempts to break through the weak British blocking forces at Beda Fomm, but cannot. Lieutenant General Erwin Rommel is appointed to command the German forces being sent to Africa."
"After just over 2 weeks of frenetic action, Rommel","1942-2-7","After just over 2 weeks of frenetic action, Rommel's counter-offensive comes to a halt in front of the Gazala line, a series of self supporting fortified boxes running south from Gazala for a 100 miles to Bir Hacheim. Although not complete, it presents too much of an obstacle for the Afrika Korps who by this time are running low on fuel and reserves."
"Britain declared a formal cessation of hostilities","1783-2-4","Britain declared a formal cessation of hostilities with its former colonies, the United States of America.."
"RAF Balloon Command to be disbanded as the air rai","1945-2-5","RAF Balloon Command to be disbanded as the air raid threat lessens. 278 V1s have been claimed by balloons."
"The RAF uses a massive 12,000b bomb ‘Tall-Boy’, in","1944-2-8","The RAF uses a massive 12,000b bomb ‘Tall-Boy’, in a raid on the Gnôme-et-Rhône works in Limoges, the second biggest bomb used in WWII. The Tall-Boy reached the speed of sound during descent being streamlined and equipped with angled fins that produced a rapid spin. Penetrating the ground before exploding they worked by setting off shock waves that would bring down nearby structures. The 5,443 kg (12,000 lb) Tall Boy dropped from 6,096m (20,000 feet) made a 24 meter (80 feet) deep crater 30 meter (100 feet) across and could go through 4.88 meter 16 feet of concrete."
"The Confederate States of America is formed with J","1861-2-9","The Confederate States of America is formed with Jefferson Davis as president."
"British and Canadians troops smash the first of th","1945-2-9","British and Canadians troops smash the first of the main Siegfried Lines defense zone. The last Rhine bridge is blown in the Colmar Pocket. Half the German Nineteenth Army were evacuated, but General De Lattre's forces have taken 22,000 German prisoners since January 20th."
"The RAF attacks the oil storage tanks at Rotterdam","1941-2-10","The RAF attacks the oil storage tanks at Rotterdam in the Netherlands. The raid sees the operational debut of the RAF's first 4-engine heavy bomber, the Stirling."
"Americans troops at Monte Cassino are relieved by","1944-2-11","Americans troops at Monte Cassino are relieved by Indian and New Zealand forces. The allies are pushed back to a final defensive line at Anzio. Monte Cassino is a rocky hill about eighty miles south of Rome, IT. This is the Second Battle for Monte Cassino"
"Born Today: Abraham Lincoln (US president), Charle","1-2-12","Born Today: Abraham Lincoln (US president), Charles Darwin (Biologist), Christina Ricci (Actress)"
"In North Africa, the Italians make further breakou","1941-2-12","In North Africa, the Italians make further breakout attempts, which all fail. Later in the day the Italians surrender 20,000 men, 200 guns and 120 tanks to just 3,000 British troops. Anthony Eden makes a speech parodying Winston Churchill's famous 'Battle of Britain' speech. He says Never has so much been surrendered, by so many, to so few.  Lieutenant General Rommel arrives in Tripoli and reports to General Gariboldi who has replaced Marshal Graziani as commander of the Italian Army in Libya."
"Even though the war is almost over, and the city d","1945-2-13","Even though the war is almost over, and the city did not hold any military significance, the allies begin the bombing of Dresden. Dresden is the capital city of the German federal state of Saxony, and suffered losses estimated between 30,000 and 125,000."
"Bomber Command is issued with Directive No.22, whi","1942-2-14","Bomber Command is issued with Directive No.22, which ends the recent period of aircraft conservation by the RAF, although attacks are still not to be pressed in the face of bad weather or 'extreme hazard'. The reason for this change is that the new Lancaster bomber, was just entering service and that Bomber Command was now equipped with a new navigation device called GEE, which it was hoped would make locating targets easier. However, it only had a range of 400 miles and could be jammed."
"German operation Sonnenwende (Solstice) was launch","1945-2-15","German operation Sonnenwende (Solstice) was launched into the remnants of the Soviet operation Vistula-Oder. Gen. Wenck's King Tiger tanks were destroying large amounts of Soviet tanks at long range, showing their supremacy at such distance. But, while the Germans had to regroup and wait for fuel and ammo, the Soviets pushed forward. They split the Panzer Army and captured the tanks and AFVs that the Germans had to leave behind because they were out of fuel."
"Born Today: Johann Strauss (Composer),  Sonny Bono","1-2-16","Born Today: Johann Strauss (Composer),  Sonny Bono (Singer), Ice-T (Singer/actor), John McEnroe (Tennis player), Matt Groening (Simpson's creator)"
"The British destroyer Cossack, enters a Norwegian","1940-2-16","The British destroyer Cossack, enters a Norwegian fjord, captures the German freighter Altmark, former supply ship of the Graf Spee and frees 300 British merchant seamen who were captured from vessels sunk by the Graf Spee in the South Atlantic.  Both sides were in violation of international law"
"German forces continue attacks on the Anzio beachh","1944-2-17","German forces continue attacks on the Anzio beachhead. The US 45th Division barely contains the German attack. Heavy losses are sustained by both sides. Offshore, the British cruiser Penelope is damaged by a torpedo attack. To the south, near Cassino, German forces recover Point 593 after losing possession briefly to the British 4th Indian Division (part of the US 5th Army)."
"A Russian torpedo hits the Wilhelm Gustloff a conv","1945-2-18","A Russian torpedo hits the Wilhelm Gustloff a converted Nazi cruise liner leaving Danzig for Denmark with 5,000 refugees and 3,800 U-boat personnel on board. Only 1,000 are reported as saved, making it the worst maritime disaster. By comparison, the Titanic disaster lost only 1,523 lives."
"US Marines divisions land on Iwo Jima. In the Paci","1945-2-19","US Marines divisions land on Iwo Jima. In the Pacific Iwo Jima is strategically and politically significant to both sides. The Americans need the island as a fighter base (Mustangs P-51 fighters) for their Japanese raids (B-29's) and a relief base for damaged bombers. On the first day some 30.000 marines landed, the about 23.000 Japanese soldiers have prepared defences but allow the landing to take place before opening fire. Over the next two months 6.281 US soldiers are killed (in the first 2 days, 4000 US soldiers died), and 21.865 are wounded in capturing the island from 23.000 defenders, 21.000 Japanese soldiers died."
"Lt. EH O'Hare flying from the carrier Lexington in","1941-2-20","Lt. EH O'Hare flying from the carrier Lexington in a Wildcat, single-handedly shoots down 5 Japanese heavy bombers that had been sent to attack the Lexington. O'Hare was promoted to Lieutenant Commander and awarded the highest decoration of his country, the Congressional Medal of Honor. His home town of Chicago named their airport after him - O'Hare International."
"Convoy ON-166 (60 ships) sailing from Britain to N","1943-2-21","Convoy ON-166 (60 ships) sailing from Britain to North America, is attacked in the North Atlantic by 19 U-boats from wolfpacks Ritter and Knappen between the 21st and 26th February. 14 allied ships are lost for 87,901 tons. 4 U-boats U-225, U-606, U-529, U623 were sunk during the battle."
"The 1st Destroyer Flottilla comprised of the Fried","1940-2-22","The 1st Destroyer Flottilla comprised of the Friedrich Eckoldt and five other destroyers were dispatched to intercept suspicious  civilian ship activity. An aircraft approached the Flotilla and made several passes.  Thinking it was a British reconnaissance aircraft, the Erich Koellner fired several 20 mm rounds at the plane. Several bombs struck the Leberecht Maas, breaking it in two. Chaos ensued as multiple torpedoes  and periscopes were observed in the minutes following.  All survivors in a life boat tethered to the Erich Koellner were lost as the destroyer accelerated to full-speed, capsizing the tiny craft. The enemy plane that sunk the two destroyers was actually a Luftwaffe He111 bomber.  There was no enemy submarine."
"Born Today: George Frideric Händel (composer),  Jo","1-2-23","Born Today: George Frideric Händel (composer),  Johnny Winter (giutarist), Ed Too Tall Jones (NFL player)"
"US 1st Paratrooper Battalion rescue 2,146 detainee","1945-2-23","US 1st Paratrooper Battalion rescue 2,146 detainees from a Japanese internment camp (former University of the Philippines Agricultural School) 25 miles behind enemy lines. The camp on the shores of Laguna de Bay, the large interior lake SE of Manila. During the operation 243 Japanese are killed for loss of just two U.S. killed and two injured."
"The Zimmerman Telegram is delivered to US Presiden","1917-2-24","The Zimmerman Telegram is delivered to US President Wilson. The telegram from German Foreign Minister Arthur Zimmerman asked Mexico to reconquer the lost territory in New Mexico, Texas, and Arizona, and so distract the US away from WWI. Release of the letter to the public (by British intelligence) helped sway public opinion away from Germany."
"The USS Ranger , the first US warship designed and","1930-2-25","The USS Ranger , the first US warship designed and built as an aircraft carrier, was launched. The Ranger served in the Atlantic from 1941-1944, participated in the North African invasion, and the October, 1943 raid on Norway. Used as a training ship from 1944 to the end of the war, and was decomissioned in 1946."
